country,code,electricity_access,food_imports,freshwater_per_capita,renewable_electricity,undernourishment,water_withdrawal,score_water_withdrawal,score_freshwater,score_food_imports,score_undernourishment,score_renewable,score_electricity_access,water_score,energy_score,food_score,wef_index,rank
Bahrain,BHR,100.0,11.836543335333333,2.6712933604,0.034200284,2.5,3877.5,10.0,9.912475786066071,5.2086275060070015,0.0,10.0,0.0,9.956237893033036,5.0,2.6043137530035008,6.015977388462613,2
Kuwait,KWT,100.0,17.167726608333336,0.0,0.125735135,2.5,974.1666667,2.279982020085924,10.0,10.0,0.0,9.678225646137681,0.0,6.139991010042962,4.839112823068841,5.0,5.342686341589131,3
Oman,OMN,100.0,15.451850193333334,305.20620984,0.658589562,5.916666666666667,116.7142857,0.0,0.0,8.457865236117476,10.0,7.805071464124529,0.0,0.0,3.9025357320622645,9.228932618058739,4.1345672916394145,4
Qatar,QAT,100.0,11.231374551666667,21.278782308,0.2792370235,2.5,446.42857139999995,0.8767164915732778,9.302806377394644,4.66473529375297,0.0,9.138617284413982,0.0,5.089761434483961,4.569308642206991,2.332367646876485,4.080384820904778,5
Saudi Arabia,SAU,99.98333333333333,14.928198864999999,77.585411838,0.06450227725,2.5,974.1666667,2.279982020085924,7.457934690166591,7.987236401478416,0.0,9.89347877674746,10.0,4.868958355126257,9.946739388373729,3.993618200739208,6.383579670446757,1
United Arab Emirates,ARE,100.0,6.041095815833334,15.68762922,2.8788909780000003,2.6166666666666667,1585.3199998,3.9050502359540937,9.485999015936667,0.0,0.34146341463414637,0.0,0.0,6.69552462594538,0.0,0.17073170731707318,2.3946531312760047,6
